train test method run dataset classifier noPoints
1 0.737704918032787 peakDegree 1 glass rf 15
1 0.622950819672131 peakDegree 16 glass rf 10
0.73202614379085 0.557377049180328 peakDegree 16 glass rpart 10
0.620915032679739 0.60655737704918 peakDegree 1 glass rpart 15
0.777777777777778 0.639344262295082 peakDegree 20 glass knn 17
0.751633986928105 0.786885245901639 peakDegree 25 glass knn 20
0.810457516339869 0.60655737704918 peakDegree 3 glass knn 17
0.836601307189543 0.672131147540984 peakDegree 20 glass svmRadial 17
0.712418300653595 0.688524590163934 peakDegree 28 glass knn 17
0.882352941176471 0.704918032786885 peakDegree 25 glass svmRadial 20
0.849673202614379 0.60655737704918 peakDegree 3 glass svmRadial 17
0.836601307189543 0.688524590163934 peakDegree 28 glass svmRadial 17
1 0.622950819672131 peakDegree 20 glass rf 17
0.627450980392157 0.475409836065574 peakDegree 20 glass rpart 17
0.712418300653595 0.672131147540984 peakDegree 22 glass knn 19
1 0.622950819672131 peakDegree 3 glass rf 17
1 0.721311475409836 peakDegree 28 glass rf 17
0.738562091503268 0.639344262295082 peakDegree 4 glass knn 12
1 0.770491803278688 peakDegree 25 glass rf 20
0.882352941176471 0.655737704918033 peakDegree 22 glass svmRadial 19
0.77124183006536 0.540983606557377 peakDegree 3 glass rpart 17
0.633986928104575 0.590163934426229 peakDegree 28 glass rpart 17
